,1% Missing,10% Missing,30% Missing,50% Missing,Total
KNNImputer,63%,56%,34%,24%,44%
IterativeImputer,33%,30%,28%,28%,30%
VAE,0%,1%,13%,46%,15%
SimpleImputer,2%,11%,22%,1%,9%
RandomForestImputer,2%,3%,2%,2%,2%
