,1% Missing,10% Missing,30% Missing,50% Missing,Total
BaggingClassifier,11%,13%,11%,5%,10%
LGBMClassifier,28%,24%,27%,30%,27%
XGBClassifier,13%,12%,12%,13%,12%
HistGradientBoostingClassifier,30%,29%,26%,22%,27%
RandomForestClassifier,17%,22%,23%,29%,23%
DecisionTreeClassifier,1%,0%,1%,1%,1%
