,1% Missing,10% Missing,30% Missing,50% Missing,Total
RandomForestClassifier,13%,18%,19%,19%,17%
BaggingClassifier,7%,8%,8%,6%,7%
HistGradientBoostingClassifier,19%,19%,15%,13%,16%
LGBMClassifier,20%,17%,19%,23%,20%
XGBClassifier,10%,9%,10%,8%,9%
ExtraTreesClassifier,7%,7%,9%,13%,9%
GaussianNB,2%,3%,2%,1%,2%
AdaBoostClassifier,1%,1%,1%,3%,1%
SVC,4%,3%,2%,1%,3%
MLPClassifier,8%,5%,3%,2%,4%
LinearDiscriminantAnalysis,1%,1%,3%,4%,2%
LogisticRegression,5%,6%,6%,5%,5%
QuadraticDiscriminantAnalysis,0%,0%,0%,0%,0%
LinearSVC,1%,1%,0%,1%,1%
DecisionTreeClassifier,1%,0%,1%,0%,1%
KNeighborsClassifier,3%,2%,0%,1%,2%
MultinomialNB,0%,0%,0%,0%,0%
SGDClassifier,0%,0%,0%,0%,0%
