,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp2inference_duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3TrainRMSEAcc,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration,Exp3inference_duration
17,197,reg_non_simple_,MNAR_,0.1_,2/,0,0.0,0.9949820485818673,0.9949820467760031,1.320251716822553,0.9797307904961967,0.9797198471111497,2.4798019423185678,0.9686577987429866,0.9686577894939541,3.0828059962086765,RandomForestRegressor,1128.0333178043365,0.12594866752624512,0.9823279451745155,0.9823030527973381,2.4793772629381485,0.980390446066701,0.980390305841205,2.4384665001307426,0.9723372359357664,0.9723212290526385,2.897041952405196,KNNImputer,0.06367563261086269,0.0654405355194185,MLPRegressor,13846.103097438812,3.5246686935424805
18,197,reg_non_simple_,MNAR_,0.3_,2/,0,0.0,0.9818787824579694,0.9818787824579694,2.508921791375294,0.9718727300511222,0.9712675127196694,2.951671316845417,0.9350956757958566,0.9346692966135686,4.450820200683533,LGBMRegressor,686.8884515762329,0.08210635185241699,0.9799088800344538,0.9799081165376111,2.6418232735149334,0.9751584116570989,0.9751293285785857,2.7461555823983232,0.9597412938090673,0.9597155656831232,3.4950228402085166,IterativeImputer,0.06272815395855157,0.06784868961542952,LGBMRegressor,10103.732843637466,24.619417667388916
19,197,reg_non_simple_,MNAR_,0.5_,2/,0,0.0,0.9609219806167876,0.9609219806167876,3.6843400631205596,0.9562079348319581,0.9536925834298007,3.7471981581940623,0.8444893531577319,0.8442495335411802,6.872204292704,LGBMRegressor,693.1659557819366,0.08529829978942871,0.9288335827991405,0.9288335827991405,4.97199848609314,0.963492508155777,0.9571147417973855,3.606080339189827,0.851094738950422,0.850827333620952,6.7255221870804895,KNNImputer,0.10105640758386082,0.09065720766918949,RandomForestRegressor,8125.161208152771,9.680148601531982
20,197,reg_non_simple_,MNAR_,0.01_,3/,0,0.0,0.9926762003777598,0.9926762003777598,1.5950035844535415,0.983266368886675,0.9832663491791674,2.2525619025371193,0.980065094648781,0.9800650448097681,2.458606442746647,LGBMRegressor,764.5328726768494,0.04799294471740723,0.9930043446689346,0.9930043446689346,1.558861885674223,0.9839299367553221,0.9839296571372957,2.2074656521766,0.9837734494926554,0.9837728383076783,2.2182100329161014,IterativeImputer,0.05522328344025434,0.041044852040765745,LGBMRegressor,12442.266335487366,18.63346028327942
21,197,reg_non_simple_,MNAR_,0.1_,3/,0,0.0,0.989796291158504,0.989796291158504,1.8826624709311413,0.981854762273396,0.9818543052470359,2.3456768617700283,0.9727494820578304,0.9727485913217467,2.874589678141005,LGBMRegressor,477.8935627937317,0.060004472732543945,0.9835085160816347,0.9832813864624551,2.40986972677926,0.9811487333820018,0.981031505114023,2.3982685889193736,0.9691926825149407,0.9690945422417291,3.061251237764981,IterativeImputer,0.0679583807233083,0.06897299758695834,MLPRegressor,11954.977972984314,3.144211530685425
22,197,reg_non_simple_,MNAR_,0.3_,3/,0,0.0,0.9969914076982326,0.9969913107243928,1.0223088150524275,0.9688241031961522,0.9688233716141145,3.074651920232156,0.9348167194851137,0.9348041097790212,4.446225584398096,RandomForestRegressor,1217.493760585785,0.13435983657836914,0.9776848214003844,0.9776814603920616,2.7843660092263085,0.9782817426711337,0.978273265022382,2.5667207223986512,0.9469475173597319,0.9469475165468997,4.010829889630598,IterativeImputer,0.07066520602038306,0.07094990914128335,LGBMRegressor,12252.511637449265,4.521181344985962
23,197,reg_non_simple_,MNAR_,0.5_,3/,0,0.0,0.9246303863290926,0.9246296026463039,5.116745768016993,0.9605405353357325,0.949372755154536,3.918082083883918,0.8968940789384412,0.8968835770068344,5.591718541603247,RandomForestRegressor,809.5925924777985,0.16815423965454102,0.9215383266365398,0.9215302813111169,5.220889295164699,0.962369507507178,0.9586091237924227,3.542694421924341,0.8809403834716298,0.8805376687186692,6.018619339153205,IterativeImputer,0.08004548212763107,0.07632645891077174,RandomForestRegressor,11338.586496591568,34.87025284767151
24,198,reg_non_simple_,MNAR_,0.01_,1/,0,0.0,0.6619645389743869,0.6619630387775491,0.0013821801794024707,0.6427081771436772,0.6419472367513104,0.0014132543509880354,0.6368624616768204,0.6360312175318108,0.0014248819477080577,LGBMRegressor,543.335072517395,0.029372453689575195,0.6824513446115126,0.6824513446115126,0.0013396387626657474,0.6480308922878995,0.6470738218616137,0.0014031004144634584,0.6406544413917968,0.6397161839464711,0.0014176505586658427,IterativeImputer,0.1339421908391433,0.1351228477467394,LGBMRegressor,14621.519812822342,3.1222076416015625
25,198,reg_non_simple_,MNAR_,0.1_,1/,0,0.0,0.6564279119818637,0.6564279119818637,0.0013934503644971329,0.6405933617160793,0.6392460504947538,0.0014185752014597907,0.5978564087619735,0.5973519011734627,0.0014986825229231706,LGBMRegressor,427.2263081073761,0.027110815048217773,0.6431549559219452,0.6431526048922054,0.0014201160369231732,0.6452852981830298,0.6440688608921662,0.0014090610451752872,0.6068107100287202,0.6057790439737605,0.0014829164053007924,IterativeImputer,0.13437356787799792,0.13372025243917254,LGBMRegressor,12478.610107660294,0.06813430786132812
26,198,reg_non_simple_,MNAR_,0.3_,1/,0,0.0,0.5811812528345104,0.5811812528345104,0.001538493348747229,0.6352014081415933,0.6347120595185578,0.0014274617628965978,0.4528747709385199,0.45135045189316103,0.0017494209749289705,LGBMRegressor,542.0034708976746,0.02726578712463379,0.5749689409624159,0.5749689409624159,0.001549861535082137,0.6346986952069396,0.6335014434868322,0.0014298252116617476,0.4693925918665084,0.46642942977458945,0.0017252131114733535,IterativeImputer,0.13892040171935588,0.14023388588011768,LGBMRegressor,8863.905925750732,0.10362768173217773
