,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration
/197_reg_simple_MAR_0.01_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/197_reg_simple_MAR_0.1_1/,197,reg_simple_,MAR_,0.1_,1/,0.04129786097871689,SimpleImputer,0.99730384349823,0.99730384349823,0.9438657164573669,0.9827380776405334,0.9827336668968201,2.663369655609131,0.720752477645874,0.7149795889854431,10.821052551269531,XGBRegressor,2590.201090812683,0.9938926513561945,0.9938926069083395,1.42057797215541,0.9831529747247015,0.9831085542986872,2.634298328782322,0.6765946706953785,0.6557295572070974,11.892726041663941,SimpleImputer,0.2310971853214679,HistGradientBoostingRegressor,2938.752981185913
/197_reg_simple_MAR_0.3_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/197_reg_simple_MAR_0.5_1/,197,reg_simple_,MAR_,0.5_,1/,0.032789959815051714,SimpleImputer,0.9991031557909902,0.9991031557909902,0.5528570963819502,0.9677044655195339,0.9676263125943986,3.2099683553398237,0.925530592785045,0.9253219629614716,4.875297400172364,HistGradientBoostingRegressor,4290.029302358627,1.0,1.0,0.0,0.9713219149886289,0.9707459121535658,3.051391605760774,0.9440836313726633,0.9370448120760484,4.476312820102571,SimpleImputer,0.057166902464505044,RandomForestRegressor,2696.076919078827
/197_reg_simple_MNAR_0.01_1/,197,reg_simple_,MNAR_,0.01_,1/,0.12053485354024503,SimpleImputer,0.9886732045923143,0.9886732045923143,1.934597701211148,0.9819907142093378,0.9819760792345473,2.7211731706156823,0.9786928380299639,0.9786909378939246,2.9587870771615186,LGBMRegressor,2709.8456382751465,0.984595475710609,0.984595475710609,2.2561152702857448,0.9810948630903639,0.9810594251312171,2.789511291667553,0.9752640441843194,0.9752436959860964,3.189146348461899,SimpleImputer,0.2081559076497536,LGBMRegressor,5244.896703720093
/197_reg_simple_MNAR_0.1_1/,197,reg_simple_,MNAR_,0.1_,1/,0.07125419900835121,SimpleImputer,0.9967364072799683,0.9967364072799683,1.0384511947631836,0.9830323457717896,0.9829933047294617,2.6432676315307617,0.9631568193435669,0.9631531834602356,3.8907337188720703,XGBRegressor,3327.48792052269,0.9999004914847212,0.9999004914832789,0.1813289996660359,0.9821465043662285,0.9820616881653526,2.7147030465913127,0.9715068914829447,0.9714690072583086,3.4236549423947484,SimpleImputer,0.056755957346824606,HistGradientBoostingRegressor,4052.0002813339233
/197_reg_simple_MNAR_0.3_1/,197,reg_simple_,MNAR_,0.3_,1/,0.05071859921091333,SimpleImputer,0.9904614397568576,0.9904614397568576,1.7753277961182403,0.9671672232531499,0.9667819403932348,3.6941852985716928,0.9439146598468975,0.9439019815633065,4.800708165327015,RandomForestRegressor,3668.8168914318085,0.9942064182843682,0.9942064182843406,1.3836004920356324,0.9766855494451786,0.9765051078061202,3.1068356072011416,0.9574982002031048,0.9573964771667001,4.183639950865179,SimpleImputer,0.07319392943545167,HistGradientBoostingRegressor,4171.65602183342
/197_reg_simple_MNAR_0.5_1/,197,reg_simple_,MNAR_,0.5_,1/,0.08058792499095117,SimpleImputer,0.9782049059867859,0.9782049059867859,2.6835925579071045,0.8833358883857727,0.8803939819335938,7.00984001159668,0.7428777813911438,0.7397013902664185,10.341117858886719,XGBRegressor,3083.318124294281,0.9354320762714875,0.935430010333507,4.619048238865555,0.9199191369449922,0.9192292057167342,5.760480654350855,0.7722815042305984,0.7696594573143845,9.727847158946371,SimpleImputer,0.0818471111899837,LGBMRegressor,3392.9319264888763
/197_reg_simple_MCAR_0.01_1/,197,reg_simple_,MCAR_,0.01_,1/,0.06370484103535089,SimpleImputer,0.9998698220222917,0.9998698220222387,0.2073986378606995,0.9830135595432097,0.9829580142480497,2.6460109954676385,0.9818790196778079,0.9818126942088605,2.73347892622776,HistGradientBoostingRegressor,3433.541784763336,0.9894797505725086,0.9894797505725086,1.864447495416777,0.9832976061366865,0.9832405319482845,2.6239868882428583,0.9825484585956483,0.9825276237848555,2.6792147889891598,SimpleImputer,0.1249525938630697,LGBMRegressor,3840.488736152649
/197_reg_simple_MCAR_0.1_1/,197,reg_simple_,MCAR_,0.1_,1/,0.0630798147403712,SimpleImputer,0.9882825454669059,0.9882825454669059,1.9798817903829278,0.9799980693773571,0.9798149528123113,2.7512609843530695,0.9557004761340022,0.955700227961544,4.0758449133674155,LGBMRegressor,3166.7169613838196,0.9982440175772028,0.9982440175772028,0.7664480171007749,0.9818562650379415,0.9818517787524468,2.608758863021129,0.9690144680573967,0.9690106292098601,3.408970822953833,SimpleImputer,0.07102601834022255,HistGradientBoostingRegressor,3853.0068163871765
