,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_explained_var,Exp2train_r2,Exp2train_rmse,Exp2ori_explained_var,Exp2ori_r2,Exp2ori_rmse,Exp2impute_explained_var,Exp2impute_r2,Exp2impute_rmse,Exp2RegressorModel,Exp2duration,Exp2inference_duration,Exp3train_explained_var,Exp3train_r2,Exp3train_rmse,Exp3ori_explained_var,Exp3ori_r2,Exp3ori_rmse,Exp3impute_explained_var,Exp3impute_r2,Exp3impute_rmse,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3RegressorModel,Exp3duration,Exp3inference_duration
0,189,reg_simple_,MAR_,0.01_,1/,0.28696287325987563,SimpleImputer,0.9615367155521858,0.9615165754139829,0.05192384175615263,0.9242586275791584,0.9242504098040258,0.07132344648470866,0.9164524563324438,0.9164524407177619,0.0749046985726744,MLPRegressor,9354.4661693573,0.015230894088745117,0.9648979442088584,0.9633204549331789,0.05069229245818987,0.9288496234745754,0.9277646489550152,0.06964935051651747,0.9210203540017731,0.92009768353714,0.07325240067239079,SimpleImputer,0.28336231556752506,MLPRegressor,7831.87567448616,0.028229951858520508
1,189,reg_simple_,MAR_,0.1_,1/,0.2846405666945858,SimpleImputer,0.862215806450763,0.8622150596172786,0.09824961061381629,0.9041286840860048,0.9037689017300937,0.0803896056599989,0.8266915772173168,0.8265074756351138,0.10794003640574475,MLPRegressor,6321.31960272789,0.007462024688720703,0.8793059040916136,0.8793036486469716,0.09195535647232905,0.9060556694455737,0.9058505894508033,0.0795153508931817,0.8269436929236488,0.8268330092342406,0.10783872193399767,SimpleImputer,0.27854135848942707,MLPRegressor,7413.60248541832,0.027170181274414062
2,189,reg_simple_,MAR_,0.3_,1/,0.2745124338443968,SimpleImputer,0.7352436502208786,0.7292838825133676,0.1377168301645327,0.859074719487261,0.8565563674329729,0.09814830741232138,0.6147891986232397,0.6130278901677197,0.1612062998499225,MLPRegressor,8929.298131227493,0.027512788772583008,0.6746805378028746,0.6729860901169031,0.15136068155597865,0.8592423104033494,0.8521335734306097,0.0996499226446745,0.6259287335603714,0.6193519935004517,0.15988361418166372,SimpleImputer,0.2938368838748942,MLPRegressor,8589.971301794052,0.029506683349609375
3,189,reg_simple_,MAR_,0.5_,1/,0.27909967172179795,SimpleImputer,0.4053880111791629,0.4041934830746784,0.20430668921506828,0.7117399673348657,0.7115603990896131,0.13917768874821676,0.4062749840380492,0.40620984538305327,0.19969108347011913,MLPRegressor,7573.772460699081,0.012708902359008789,0.4180983418004328,0.4180966972248781,0.2019088580865717,0.7391429958299539,0.7377725520664777,0.13270315591424336,0.41167085354727373,0.4110189259697249,0.19888079482010165,SimpleImputer,0.28968698304540447,MLPRegressor,7283.505591392517,0.025101900100708008
4,189,reg_simple_,MNAR_,0.01_,1/,0.29026069362401036,SimpleImputer,0.953732195203791,0.9527355276721274,0.05754364504240813,0.9265656098015357,0.9248268422702385,0.07105155284236093,0.9099167307740126,0.9084845649094966,0.07839517817853058,MLPRegressor,8108.854740381241,0.025338172912597656,0.9461417249296048,0.9461362512181076,0.06142967950312253,0.9289131843380425,0.9288309497971947,0.06913337547729254,0.912837754324977,0.9127970451848925,0.07652578223810104,SimpleImputer,0.2650543640485756,MLPRegressor,7278.606927871704,0.023934125900268555
5,189,reg_simple_,MNAR_,0.1_,1/,0.2762014619798761,SimpleImputer,0.7622835979363436,0.761961894161356,0.12913774675335593,0.8777920241806279,0.8777475964750457,0.09060890462872526,0.7062186050433128,0.7061711609280137,0.14047187738038114,MLPRegressor,7667.723524093628,0.018364906311035156,0.7459911418112104,0.7449796568787739,0.1336648989454988,0.8755520228833827,0.8729604204482797,0.092365907380192,0.7042865060051235,0.7004349282577609,0.14183642114228162,SimpleImputer,0.2891710456432881,MLPRegressor,10831.471890211105,0.013310909271240234
6,189,reg_simple_,MNAR_,0.3_,1/,0.27125990328128674,SimpleImputer,0.5142986212001099,0.5139343119718411,0.18453444538387026,0.78364515896584,0.7786984894075548,0.12190860630755135,0.4280343451814358,0.4275606760393039,0.1960680850446799,MLPRegressor,8922.808299303055,0.009772777557373047,0.5172450383073259,0.5172434182876884,0.18390522285916225,0.7977424781092923,0.7968720600278785,0.11679574176053333,0.4347970778016864,0.4347214223402308,0.19483790034466292,SimpleImputer,0.2862937840565454,MLPRegressor,4787.489459037781,0.026782989501953125
7,189,reg_simple_,MNAR_,0.5_,1/,0.27029487350501624,SimpleImputer,0.27240329923265594,0.24179688539135913,0.23047442681968014,0.6193525906636833,0.613229869277884,0.16116422374938394,0.24256823180967846,0.20929032710904372,0.23043619895942208,MLPRegressor,5956.539540529251,0.006802797317504883,0.3047268240296038,0.3040870435595098,0.22080424708561266,0.595627350881137,0.5914944506979114,0.16563082207126936,0.22607854384295234,0.22546588243720433,0.22806700191683746,SimpleImputer,0.28934764455697454,MLPRegressor,2546.1769666671753,0.010213375091552734
8,189,reg_simple_,MCAR_,0.01_,1/,0.28633490919452065,SimpleImputer,0.9399553071812329,0.939874114725241,0.06490239204028615,0.9298841810313494,0.9295579316522573,0.06877937527946458,0.9082119923279893,0.907966850609946,0.07861661113163337,MLPRegressor,6828.919235706329,0.014738321304321289,0.9538479976810111,0.9537415254655383,0.056927959178947544,0.9239002445784128,0.9229503485190278,0.07193289122780883,0.9013888478227602,0.900624681190785,0.0816923603897141,SimpleImputer,0.27284907931779906,MLPRegressor,6127.273964643478,0.027709007263183594
9,189,reg_simple_,MCAR_,0.1_,1/,0.28092488983703756,SimpleImputer,0.7535372165852912,0.7535344081669131,0.13140385620250852,0.8782830546402944,0.8777834041563877,0.09059563400048916,0.7021881777592878,0.7021831937377458,0.1414219359643625,MLPRegressor,9482.89268565178,0.026264190673828125,0.8089078870401949,0.8088231998687134,0.11573042703268903,0.8928316577869985,0.8928011533468299,0.08484714501937013,0.6978784208101035,0.6977681186225396,0.14246635546003428,SimpleImputer,0.29315323034010543,MLPRegressor,5039.730956792831,0.043198585510253906
