,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3TrainRMSEAcc,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
0,6,class_non_simple_,MNAR_,0.01_,1/,0,0.0,1.0,1.0,1.0,1.1855407297289333e-05,1.0,0.9996698421371002,0.9675,0.9675061317661615,0.11947543227243401,0.9674646793121665,0.9995638281119388,0.96225,0.9621840418453611,0.1366940507603767,0.9622288517335004,HistGradientBoostingClassifier,4011.7558698654175,0.4286341667175293,1.0,1.0,1.0,2.326067832421533e-05,1.0,0.9996589773009522,0.96875,0.9687590047887684,0.11759226064814547,0.9688118477649229,0.9996284797589439,0.96625,0.9662375662373421,0.12774156581868604,0.9663217782475015,KNNImputer,0.05282595718228828,0.04959687105273225,HistGradientBoostingClassifier,9437.426154613495,2.3857946395874023
1,6,class_non_simple_,MNAR_,0.1_,1/,0,0.0,1.0,1.0,1.0,1.9400677917946003e-05,1.0,0.9995806306762892,0.9635,0.9634464687179167,0.14568466758527193,0.9635246903188518,0.9982602345018484,0.92875,0.9286227801772549,0.3033862783283411,0.9287234680594868,HistGradientBoostingClassifier,4117.927531242371,0.507432222366333,1.0,1.0,1.0,0.002275501960136294,1.0,0.9995634716152817,0.95775,0.9576750158054738,0.12657785063946714,0.9577949986897496,0.9989061675483215,0.94225,0.9422079564240675,0.19902782137623876,0.9424162462628952,IterativeImputer,0.056289661320355816,0.05173928757099028,LGBMClassifier,13607.216108083725,27.096440076828003
2,6,class_non_simple_,MNAR_,0.3_,1/,0,0.0,1.0,1.0,1.0,4.42324160362594e-05,1.0,0.9992198137579366,0.94025,0.940214448120294,0.20910152413794594,0.9402477327547393,0.9894402387008474,0.80975,0.8094282165389154,0.8002918991002553,0.809981111300593,HistGradientBoostingClassifier,4867.798448801041,0.682319164276123,0.9991412828724541,0.948875,0.9486965072390967,0.22075079180568108,0.9489712954631924,0.9993290023856004,0.954,0.9538747896865593,0.27869868644307344,0.9539004029942961,0.9825400230716513,0.84025,0.8399071630777334,0.6591659117855322,0.8408307860358762,IterativeImputer,0.07744207582982605,0.08202138242062805,SVC,13088.38639497757,74.82244277000427
3,6,class_non_simple_,MNAR_,0.5_,1/,0,0.0,1.0,1.0,1.0,7.269535810555866e-05,1.0,0.9968043125779692,0.88675,0.8864728293314085,0.4578939015596356,0.8873063127946605,0.9551357397289364,0.59375,0.5932541988532727,2.0461912169310126,0.5947658613965403,HistGradientBoostingClassifier,3900.37029004097,0.642906904220581,0.9994426306981529,0.9578125,0.9577385125748734,0.32705706753197866,0.9579143196848634,0.9968064138434762,0.89275,0.8926663681551023,0.4155145728108443,0.8926621565151515,0.9391175049796251,0.59725,0.5966214913583323,1.5121569892060365,0.5996001887798961,IterativeImputer,0.11438324584950113,0.11606104614694725,XGBClassifier,12913.240196228027,86.63483738899231
4,6,class_non_simple_,MNAR_,0.01_,2/,0,0.0,1.0,1.0,1.0,1.1639673167107257e-05,1.0,0.9996921178219703,0.9695,0.9694643777788683,0.11766127708800529,0.9694520937821007,0.9995814631582612,0.96575,0.9656828279112707,0.13934596257094592,0.9656761515377704,HistGradientBoostingClassifier,3902.558455467224,0.459644079208374,0.9999999920773104,0.999375,0.9993868192850537,0.005890277516836424,0.9993751234828028,0.9998138741149106,0.971,0.9710199062345796,0.09257276910966188,0.970888514237928,0.9997692306926549,0.9685,0.9685406676405878,0.10535578103414349,0.9683900348169825,IterativeImputer,0.046603738088031844,0.04968375427374481,MLPClassifier,12754.33954501152,3.570765972137451
5,6,class_non_simple_,MNAR_,0.1_,2/,0,0.0,1.0,1.0,1.0,3.1812736572667144e-05,1.0,0.9996408749578234,0.96225,0.9622535435731526,0.1306340747730565,0.9622410454466238,0.9984680405261643,0.922,0.9219275711995708,0.2719438944765848,0.9218495734310336,HistGradientBoostingClassifier,4327.480504989624,0.5886034965515137,0.9999595560281522,0.9906875,0.9906026209071673,0.043613941097603304,0.9906160179479767,0.9998027595062181,0.97375,0.9737081359120955,0.10877649306440453,0.973692963079754,0.9989733935179024,0.9535,0.9533068619525775,0.1711272251141753,0.9534166948870629,IterativeImputer,0.05376470259226595,0.05577209336063221,SVC,12539.422525405884,34.637951135635376
6,6,class_non_simple_,MNAR_,0.3_,2/,0,0.0,1.0,1.0,1.0,7.22867574724745e-05,1.0,0.9990449697611533,0.93675,0.936691088079061,0.22061719665741686,0.9368286690350303,0.9898277943705188,0.8005,0.8000037975740176,0.7614735762751739,0.8005350850564402,HistGradientBoostingClassifier,4950.41092467308,0.6621568202972412,0.9998350627391036,0.9814375,0.9814418098294659,0.33328750352358527,0.9814584451547741,0.9987954358398092,0.94725,0.9469589561480483,0.5300375843139205,0.9470356323117558,0.9877745267132496,0.8405,0.8400964035755492,0.7880729576285734,0.8408341889171014,IterativeImputer,0.08143336760205486,0.08353374918450546,ExtraTreesClassifier,10995.712895393372,61.86443781852722
7,6,class_non_simple_,MNAR_,0.5_,2/,0,0.0,0.9999999960043416,0.9999375,0.9999370514918796,0.003927331085488295,0.9999385688101642,0.9969958097498159,0.88725,0.8869755452053917,0.3656653840821525,0.8876689651146925,0.9560090802830137,0.59125,0.5905841688075558,1.561871803841534,0.5913084963163484,HistGradientBoostingClassifier,4968.866363763809,0.6847820281982422,0.999996531800687,0.9984375,0.9984294434554961,0.06130631761568047,0.9984442658952035,0.9971717782858399,0.89075,0.8907026204270806,0.35801243721223297,0.8907390500464665,0.9436115295846629,0.627,0.6260186199178178,1.613605488314663,0.6284477456604883,IterativeImputer,0.1108768313031613,0.11164751756998713,HistGradientBoostingClassifier,13914.57325387001,66.94350147247314
8,6,class_non_simple_,MNAR_,0.01_,3/,0,0.0,1.0,1.0,1.0,3.9704284240646094e-05,1.0,0.9997554179986186,0.9685,0.9684078157762795,0.1121785610727506,0.9684659290636877,0.9996785335751643,0.96325,0.9631370712591113,0.13098497573502027,0.9631985794175405,HistGradientBoostingClassifier,4924.109051465988,0.5604686737060547,1.0,1.0,1.0,3.52814347420027e-05,1.0,0.9996872535427793,0.9665,0.9664646847000526,0.11257625770505958,0.9664673462921578,0.9996718459172929,0.9645,0.9644855442452044,0.11753577975598574,0.9644794607130966,IterativeImputer,0.04791653602693568,0.04636799558574972,HistGradientBoostingClassifier,11166.358521699905,2.2349720001220703
9,6,class_non_simple_,MNAR_,0.1_,3/,0,0.0,1.0,1.0,1.0,0.03730975355996001,1.0,0.9993070201844778,0.959,0.9588865251609324,0.3548736417298371,0.9589607214423969,0.9976890490803909,0.928,0.9279531666311542,0.5523132762418845,0.9280869785094166,BaggingClassifier,2471.866377353668,0.45316052436828613,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9996007729814974,0.9675,0.9674807541210817,0.22651419236550055,0.9675098204572526,0.9988919693375193,0.94925,0.9490765498525011,0.280364622633896,0.9493179756784791,IterativeImputer,0.05417430737747379,0.05251919649059832,ExtraTreesClassifier,12087.319638967514,23.814724445343018
