,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration
/6_class_simple_MCAR_0.3_1/,6,class_simple_,MCAR_,0.3_,1/,0.07951366100471627,SimpleImputer,1.0,1.0,1.0,0.0003914513151393318,1.0,0.9981085879492676,0.9115,0.9108755350261089,0.2851522119297862,0.9115685128797562,0.9894522307576055,0.805,0.8042449094791503,0.7028205322474012,0.8053265839855159,HistGradientBoostingClassifier,11014.842761516571,1.0,1.0,1.0,0.00010319167515863631,1.0,0.998432914135856,0.9225,0.9221003725551148,0.29145621132676025,0.9223778777724005,0.9895179622928298,0.801,0.8001584902956542,0.8319707891196356,0.801456509207988,SimpleImputer,0.08337101847292042,HistGradientBoostingClassifier,11427.231105089188
/6_class_simple_MCAR_0.5_1/,6,class_simple_,MCAR_,0.5_,1/,0.1025621844306686,SimpleImputer,0.9999954902131396,0.9991666666666666,0.9991872809650424,0.10482771325509141,0.9991667593755225,0.9957744167968946,0.8685,0.8678900323647838,0.41478189980433694,0.8686425942652617,0.9609225958423788,0.6065,0.6056556607560034,1.2787026055295776,0.6099408488477287,LGBMClassifier,7301.575204849243,0.9999937703158926,0.9990555555555556,0.9990713107059559,0.1113083546567415,0.9990559160354248,0.9955583116964798,0.865,0.8644305080378202,0.42969260929078135,0.86555624828695,0.9607280421320532,0.612,0.6110072477971591,1.2775564046060157,0.6153534070681966,SimpleImputer,0.0836132048879523,LGBMClassifier,9814.778468847275
/6_class_full_MAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.3_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MAR_0.5_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MNAR_0.3_1/,6,class_full_,MNAR_,0.3_,1/,0.07869802822034198,IterativeImputer,1.0,1.0,1.0,2.4082633651563136e-05,1.0,0.9990029461239675,0.937,0.9364332144195019,0.21790861997044267,0.9367511735245264,0.988535151019061,0.8195,0.818886676097745,0.8711302758238672,0.820786606495824,HistGradientBoostingClassifier,11970.39897942543,0.9998483892459993,0.9731666666666666,0.9731126325615442,0.16212320875155942,0.9732060931857428,0.9985609228777886,0.9235,0.9229731835752387,0.31561662258028844,0.9233931683578456,0.9851301237846412,0.8345,0.8339955934194949,0.6634341575633957,0.83581778622381,IterativeImputer,0.04048067055561066,XGBClassifier,14964.998846054077
/6_class_full_MNAR_0.5_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.01_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_full_MCAR_0.3_1/,6,class_full_,MCAR_,0.3_,1/,0.0812128616709854,IterativeImputer,0.9930224811333594,0.8469444444444445,0.8466352402711517,0.538181539195871,0.8482642387351722,0.9987447495907312,0.9175,0.9168851411892452,0.28296413572324347,0.917442715158234,0.989086330929468,0.818,0.8177814286827476,0.6487501281663467,0.8196339202892756,MLPClassifier,9138.459599494934,1.0,1.0,1.0,0.06805478140137555,1.0,0.9985566333785127,0.938,0.9374255403806997,0.4434273466466295,0.9376522363269542,0.9860117121177736,0.8385,0.8377706473203376,0.8113070023194839,0.8398772727354112,IterativeImputer,0.04129207475160592,RandomForestClassifier,14932.30962228775
/6_class_full_MCAR_0.5_1/,6,class_full_,MCAR_,0.5_,1/,0.09746969475474673,IterativeImputer,1.0,1.0,1.0,0.0013486240979126282,1.0,0.9969850899176989,0.891,0.8903124778859755,0.34012491070559836,0.8906824188858095,0.9483975154228509,0.6305,0.6296832883416082,1.6777505430612774,0.6331829531318661,HistGradientBoostingClassifier,11964.5621509552,1.0,1.0,1.0,6.375808891690114e-05,1.0,0.9959025367095842,0.8755,0.8748176905708471,0.4647251490594897,0.8750055083208493,0.9596808591773959,0.6175,0.6167063040066274,1.6999394109257062,0.6169388162461905,SimpleImputer,0.08422646008222044,HistGradientBoostingClassifier,14897.759659290314
/6_class_simple_MAR_0.01_2/,6,class_simple_,MAR_,0.01_,2/,0.09022154739009379,SimpleImputer,1.0,1.0,1.0,1.1644864644347872e-08,1.0,0.9964026237300584,0.9545,0.9540437453350596,0.32998878614068783,0.9544138471720022,0.9945679726374053,0.95,0.9495898012618019,0.45793781107582365,0.9499568790596242,KNeighborsClassifier,11366.118575334549,1.0,1.0,1.0,1.1533223373249971e-08,1.0,0.9964039461423903,0.9555,0.9550629963543107,0.32992810590746513,0.9554480047746058,0.9945616027624558,0.95,0.9496226968643178,0.45888628196127607,0.9500022208884207,SimpleImputer,0.09616216678750918,KNeighborsClassifier,9032.466685533524
/6_class_simple_MAR_0.1_2/,6,class_simple_,MAR_,0.1_,2/,0.08652467054206531,SimpleImputer,1.0,1.0,1.0,0.0327345238873874,1.0,0.9994631425144065,0.96,0.9596843075980822,0.33558906814755707,0.960019581470822,0.9985008444976037,0.9335,0.9332726477839194,0.4654190451243065,0.9338217642971697,ExtraTreesClassifier,9961.364040136337,1.0,1.0,1.0,9.033983163831197e-05,1.0,0.9993830567392519,0.954,0.9536525410189932,0.16209264861251896,0.9539037306766619,0.9982314736658361,0.919,0.9186254344882181,0.29400031617302824,0.9188728150723376,SimpleImputer,0.07376458817308112,HistGradientBoostingClassifier,12674.752627849579
/6_class_simple_MAR_0.3_1_2/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/6_class_simple_MAR_0.5_2/,6,class_simple_,MAR_,0.5_,2/,0.09696580345171472,SimpleImputer,1.0,1.0,1.0,6.889043182731455e-05,1.0,0.9986301239610722,0.923,0.9223991155262692,0.25479742741977085,0.9231410420046907,0.9745931026158655,0.7055,0.7053774884686045,1.3667280704666274,0.704514941367827,HistGradientBoostingClassifier,13144.868532419205,1.0,1.0,1.0,7.866546459077428e-05,1.0,0.9988675707504535,0.9265,0.9259774611913711,0.24520452003976892,0.9264249537852282,0.9776584162862171,0.709,0.7087102349530746,1.4413705465984872,0.7089257057785195,SimpleImputer,0.0800968936656395,HistGradientBoostingClassifier,10847.937870979309
/6_class_simple_MNAR_0.01_2/,6,class_simple_,MNAR_,0.01_,2/,0.08461350195548724,SimpleImputer,1.0,1.0,1.0,2.2204460492503136e-16,1.0,0.9963104924422448,0.954,0.9536586857662557,0.35806225380973533,0.9540128194997625,0.9962663852444383,0.95,0.9495927331135161,0.3663490319116529,0.9499599558369458,KNeighborsClassifier,9613.766674041748,1.0,1.0,1.0,2.804975622084398e-05,1.0,0.9995501607280046,0.961,0.9605977042735236,0.14184941109350563,0.9608807605921335,0.9993447504232935,0.9545,0.9540000238787478,0.17609674697056996,0.9543920304994021,SimpleImputer,0.08711058806321674,HistGradientBoostingClassifier,8690.130937337875
/6_class_simple_MNAR_0.1_2/,6,class_simple_,MNAR_,0.1_,2/,0.07873229150495009,SimpleImputer,1.0,1.0,1.0,1.224643423449372e-05,1.0,0.9993701778266165,0.953,0.9525440892122562,0.17046786982282666,0.9529753523526378,0.9980550673312367,0.9085,0.9080392005316278,0.3392892483900506,0.9086669156470988,HistGradientBoostingClassifier,10405.621872663498,1.0,1.0,1.0,0.01240962100618003,1.0,0.998093321339022,0.945,0.9446368959950824,0.5247216939823489,0.9451064287303025,0.9960221081080604,0.9065,0.9061109421507807,0.6903007991137772,0.9069585020861491,SimpleImputer,0.0861211534088372,BaggingClassifier,9235.357588529587
