,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp2inference_duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3TrainRMSEAcc,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration,Exp3inference_duration
487,737,class_simple_,MNAR_,0.5_,2/,0.216756960888541,0.0,0.826349211901671,0.826559356136821,0.826349211901671,6.251434450989735,0.8263609508753733,0.7855798659938786,0.7861736334405145,0.7855798659938787,7.707083441724406,0.785146804835924,0.7068409297708662,0.707395498392283,0.7068409297708661,10.546535236043926,0.706180376034302,ExtraTreesClassifier,1026.2069544792175,0.12081003189086914,0.9394428767985822,0.8583501006036217,0.8585141308375375,0.4103391279817189,0.8583186909445248,0.8892898502771115,0.8183279742765274,0.817799238977583,0.4537488950572398,0.81761092787839,0.7939397386053437,0.7057877813504824,0.7058379518570601,0.5442707512347819,0.7057870208822823,SimpleImputer,0.13572162889582723,0.13353201599590644,RandomForestClassifier,370.80111622810364,0.059446096420288086
488,737,class_simple_,MNAR_,0.01_,3/,0.13074236438987158,0.0,0.8312756361921494,0.8321931589537224,0.8312756361921493,6.048371614994709,0.8294704185494951,0.8316341302010093,0.8327974276527331,0.8316341302010092,6.026591563453672,0.8299849665163319,0.8284183968897345,0.8295819935691319,0.8284183968897345,6.14248755505855,0.826715446641646,MLPClassifier,2632.995156764984,0.19075870513916016,0.9421940305082023,0.8780684104627766,0.8776274262882551,0.30890466714587983,0.8775608268796877,0.9367606915377615,0.8553054662379421,0.8546095624121102,0.3250512722244264,0.8543643856143857,0.9149019770038878,0.8392282958199357,0.8385308958557367,0.38195280082623767,0.8381826506826506,SimpleImputer,0.5597551084994212,0.5564235869865299,MLPClassifier,2683.0432822704315,0.015505790710449219
489,737,class_simple_,MNAR_,0.1_,3/,0.12835335575969709,0.0,0.9202249636591187,0.9203219315895372,0.9202249636591187,2.871888680501085,0.9202909397708408,0.8452725618330714,0.8456591639871383,0.8452725618330714,5.563007597034159,0.8452992870170783,0.8227003887831914,0.8231511254019293,0.8227003887831914,6.374279538268307,0.8226211216193795,HistGradientBoostingClassifier,1381.3955929279327,2.9122281074523926,0.9770501828056455,0.9259557344064386,0.9258590958440542,0.2293195670013104,0.925926933928458,0.9075399123169823,0.819935691318328,0.819794854826702,0.3907906823650599,0.8198444223766965,0.8950285383406402,0.8086816720257235,0.8084312184630655,0.4096812607958233,0.8084633438825389,SimpleImputer,0.5651887911868371,0.5554466048077015,XGBClassifier,363.46546959877014,0.021134138107299805
490,737,class_simple_,MNAR_,0.3_,3/,0.12751907744359253,0.0,0.8880299226023439,0.8881287726358149,0.888029922602344,4.032247743329806,0.8880852588701702,0.8404954917693772,0.8408360128617364,0.8404954917693772,5.736851584441476,0.8405355362483977,0.7488626023657872,0.7491961414790996,0.7488626023657872,9.039887345180508,0.7487571464081532,HistGradientBoostingClassifier,1710.5264775753021,1.8310747146606445,0.9356656276154421,0.8619718309859155,0.8619422225331603,0.35006585182769623,0.8619567194300345,0.8931259822979569,0.8086816720257235,0.8082140789147159,0.4164390889786468,0.8080739720841468,0.8123759202580858,0.7379421221864951,0.7373748862602366,0.5325182328211409,0.7367985192223321,SimpleImputer,0.6002328525151763,0.5594467691561478,HistGradientBoostingClassifier,334.8628640174866,0.016042470932006836
491,737,class_simple_,MNAR_,0.5_,3/,0.21120762823855926,0.0,0.8077146314477532,0.8076458752515091,0.8077146314477534,6.933145400401609,0.8076443489222007,0.7921043924228637,0.792604501607717,0.7921043924228638,7.475291458514651,0.7918680206995836,0.6654706758209943,0.6655948553054662,0.6654706758209943,12.053183126907344,0.6654703418317216,RandomForestClassifier,1168.4431047439575,0.10686659812927246,0.9148010385329944,0.8237424547283703,0.8237506121592313,0.39611292983358204,0.8237376308814042,0.8825688642567625,0.797427652733119,0.7975328811316073,0.4320734976720051,0.797425558312655,0.7448351807428241,0.6704180064308681,0.6699995864008603,0.6020248642068237,0.6695973030889582,SimpleImputer,0.32171591407565703,0.32860985797327613,HistGradientBoostingClassifier,502.5252757072449,0.015854597091674805
492,737,class_full_,MNAR_,0.01_,1/,0.08084274395361139,0.0,0.8451253339344802,0.8454728370221328,0.8451253339344802,5.569723501577862,0.8450552919307426,0.8369385391678386,0.837620578778135,0.8369385391678386,5.8527475760463545,0.8366065599779444,0.8369385391678386,0.837620578778135,0.8369385391678386,5.8527475760463545,0.8366065599779444,LinearDiscriminantAnalysis,1045.1074249744415,0.038030385971069336,0.9038119705956276,0.8458752515090543,0.8455246949568445,0.39604009179107613,0.8454522942520897,0.9089151294565307,0.837620578778135,0.8369075192323601,0.3838815928673814,0.8365215218992252,0.904830837951857,0.8344051446945338,0.8336917859210853,0.39130718785466184,0.8332843243130714,IterativeImputer,0.09464556267076268,0.08617541447065787,LinearDiscriminantAnalysis,6770.766225576401,0.9112169742584229
493,737,class_full_,MNAR_,0.1_,1/,0.10519056126710721,0.0,0.841973523627403,0.8422535211267606,0.841973523627403,5.685759407860734,0.8419605125170025,0.8596658118951113,0.860128617363344,0.8596658118951113,5.041475634812206,0.8596843325321073,0.8436802051451733,0.8440514469453376,0.8436802051451733,5.620955592836599,0.8437117108715868,SVC,3341.3319025039673,0.2419450283050537,0.910134053154855,0.8507042253521127,0.8504585688041064,0.38194879062088993,0.8504810810363721,0.925748614442882,0.8617363344051447,0.8612891885184879,0.34971577514881397,0.8613219678115148,0.9118827032839772,0.837620578778135,0.8371246587807097,0.37673585237178847,0.8370439541911469,IterativeImputer,0.1006224849304116,0.06493787879749587,SVC,4405.218381881714,0.08946800231933594
494,737,class_full_,MNAR_,0.3_,1/,0.12736999747607652,0.0,0.9919389317724245,0.9919517102615694,0.9919389317724245,0.29008976570718054,0.9919510207466085,0.8095892960542641,0.8102893890675241,0.8095892960542642,6.837863504687821,0.8090555278055278,0.7030978575564563,0.7041800643086816,0.7030978575564564,10.662431227648804,0.6999328802751908,BaggingClassifier,710.9390225410461,0.1727287769317627,0.8673201547434892,0.7979879275653924,0.7979207315335204,0.459026243790428,0.7979431331083848,0.9051513772851352,0.8360128617363344,0.8354392422863761,0.4003117862354738,0.8352617366015787,0.8590971130780048,0.7877813504823151,0.7873273223591695,0.45911893082097593,0.7871453459432554,IterativeImputer,0.07578448059448199,0.08048207875047235,LogisticRegression,4227.357916355133,0.03557109832763672
495,737,class_full_,MNAR_,0.5_,1/,0.1269237333094277,0.0,0.6021820075713409,0.6024144869215292,0.6021820075713409,14.330434425934707,0.6019265665919111,0.459777483662834,0.4630225080385852,0.459777483662834,19.354630598014676,0.39244311867579107,0.5026883944081396,0.5032154340836013,0.5026883944081396,17.905930702953697,0.5014513053966771,LGBMClassifier,825.1451568603516,0.030344724655151367,0.8992758383018638,0.8189134808853119,0.818650580806314,0.4203943644573904,0.818613844812283,0.9072555629084291,0.815112540192926,0.8145214657953512,0.3925029159862528,0.8142246808731674,0.7937225990569939,0.7106109324758842,0.7098705434692696,0.5499876392098152,0.7085741058878651,IterativeImputer,0.08718901553079754,0.08894367351204802,XGBClassifier,2868.3591072559357,0.048215389251708984
496,737,class_full_,MNAR_,0.01_,2/,0.09166779349836801,0.0,0.8650940328402374,0.8651911468812877,0.8650940328402374,4.85900357559527,0.865140830410757,0.8729009843659525,0.8729903536977492,0.8729009843659525,4.577891668392693,0.872950618337328,0.8712776077425759,0.8713826366559485,0.8712776077425759,4.635839664195132,0.8713347468583544,MLPClassifier,2574.977573633194,0.09530973434448242,0.9238214801168092,0.8740442655935614,0.8737384337533588,0.34953355104067696,0.8737692049150171,0.9324696004632311,0.8745980707395499,0.8741521217635868,0.3300384548230009,0.87422224987556,0.9300810654313839,0.8681672025723473,0.8677206551410372,0.33598851035337646,0.8677721088435374,IterativeImputer,0.0825821551029201,0.07493248243880711,SVC,6156.535937070847,1.0493264198303223
