,DatasetID,Exp_Name,Condition,Level,Triplicate,Exp1ImputeRMSEAcc,Exp2ImputeModel,Exp2train_auroc,Exp2train_accuracy,Exp2train_balanced_accuracy,Exp2train_logloss,Exp2train_f1,Exp2ori_auroc,Exp2ori_accuracy,Exp2ori_balanced_accuracy,Exp2ori_logloss,Exp2ori_f1,Exp2impute_auroc,Exp2impute_accuracy,Exp2impute_balanced_accuracy,Exp2impute_logloss,Exp2impute_f1,Exp2ClassifierModel,Exp2duration,Exp3train_auroc,Exp3train_accuracy,Exp3train_balanced_accuracy,Exp3train_logloss,Exp3train_f1,Exp3ori_auroc,Exp3ori_accuracy,Exp3ori_balanced_accuracy,Exp3ori_logloss,Exp3ori_f1,Exp3impute_auroc,Exp3impute_accuracy,Exp3impute_balanced_accuracy,Exp3impute_logloss,Exp3impute_f1,Exp3ImputeModel,Exp3ImputeRMSEAcc,Exp3ClassifierModel,Exp3duration
/30_class_simple_MAR_0.01_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/30_class_simple_MAR_0.1_1/,30,class_simple_,MAR_,0.1_,1/,0.08807406048221333,SimpleImputer,0.9999336517237627,0.996751269035533,0.9992761818593078,0.016153760433643957,0.9967874741055898,0.9972641844346775,0.9744525547445255,0.970879526977088,0.08895649518786523,0.9756063391641568,0.9972867260095157,0.9817518248175182,0.9725055432372505,0.06982511191424004,0.9824398220417514,LGBMClassifier,1707.571830034256,0.9992804357385954,0.9855837563451777,0.9836683756526196,0.0727869082900809,0.9860760275922048,0.9971057556404184,0.9671532846715328,0.8755235279625524,0.10363550297717808,0.9683127819370283,0.994788130007169,0.9708029197080292,0.8706824340970682,0.1563721652808155,0.9714398166996805,SimpleImputer,0.25912108319637966,RandomForestClassifier,2346.195023536682
/30_class_simple_MAR_0.3_1_1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/30_class_simple_MAR_0.5_1/,30,class_simple_,MAR_,0.5_,1/,0.16237595500190902,SimpleImputer,0.9993299324291414,0.9888324873096447,0.9906477501440694,0.0602515916126407,0.9891393920946756,0.9961318028127988,0.968978102189781,0.8460335057896033,0.11072870645776695,0.9695099649378452,0.9919759206195409,0.958029197080292,0.6335304262133531,0.14013986528129002,0.9527954870810006,RandomForestClassifier,1330.5214622020721,0.9999569021147753,0.9959390862944163,0.9772689239211934,0.022684567984321564,0.9959325573153384,0.9961246187322896,0.9762773722627737,0.7579699433357969,0.1407649068600255,0.9747592743570236,0.9921495542530572,0.9525547445255474,0.5369672333086968,0.12636582060603102,0.9436109662843238,SimpleImputer,0.07803669525366812,RandomForestClassifier,1558.6297461986542
/30_class_simple_MNAR_0.01_1/,30,class_simple_,MNAR_,0.01_,1/,0.0954675460360719,SimpleImputer,0.9998899399608925,0.9932994923857869,0.99787668804294,0.026628080441601414,0.9934004042894289,0.9985533247688012,0.9708029197080292,0.9700665188470067,0.08573896158584039,0.9723106837960214,0.9983870340527158,0.9708029197080292,0.9700665188470067,0.08269515118681495,0.9723106837960214,LGBMClassifier,1812.4087612628937,0.9998611911664511,0.9939086294416244,0.9667750406996211,0.029514370141601878,0.9938900693936158,0.9969572795534681,0.9744525547445255,0.7753387533875339,0.07816814540483688,0.9734649140471078,0.996854056020642,0.9726277372262774,0.7086720867208672,0.07511024091889715,0.9699593435515257,SimpleImputer,0.24035788039739028,RandomForestClassifier,1978.477948665619
/30_class_simple_MNAR_0.1_1/,30,class_simple_,MNAR_,0.1_,1/,0.07692916584386027,SimpleImputer,0.9995856784553132,0.9900507614213198,0.9226945349738636,0.04070703738783311,0.9899651033647905,0.995626665187548,0.9708029197080292,0.8391722099039173,0.08601216536151701,0.9705650848113974,0.9950824622058008,0.968978102189781,0.7951342695245134,0.09646813308898113,0.968559049838024,RandomForestClassifier,3048.333561897278,0.9999941328476103,0.9985786802030456,0.9990528925215647,0.014842568915379726,0.9985853206106058,0.9981798475960139,0.9799270072992701,0.8121088938162109,0.059004349188055756,0.9792267532869651,0.9964974752807301,0.968978102189781,0.7708918452820892,0.08212499982511745,0.9680840902165119,SimpleImputer,0.23336339366518472,LGBMClassifier,1603.5090935230255
/30_class_simple_MNAR_0.3_1/,30,class_simple_,MNAR_,0.3_,1/,0.07222908177657664,SimpleImputer,0.999997898726703,0.9989847715736041,0.9997738068310337,0.007059411652453283,0.9989885580747256,0.9945870159394776,0.9653284671532847,0.7967356491746737,0.12822080864081747,0.9659805808102763,0.9831747398134876,0.9543795620437956,0.6779502340477951,0.16819425357838444,0.9534607742780463,LGBMClassifier,3053.753440141678,0.9999734922400393,0.9969543147208122,0.9993214204931011,0.013534783626404508,0.996981606217584,0.9937913210448283,0.9671532846715328,0.9296624784429662,0.11309528726629879,0.9685039322686086,0.9805617306659702,0.9562043795620438,0.6783567381128357,0.15155090143170513,0.9542286866084634,SimpleImputer,0.07700637303010893,LGBMClassifier,886.5830528736115
/30_class_simple_MNAR_0.5_1/,30,class_simple_,MNAR_,0.5_,1/,0.116290169133544,SimpleImputer,0.9999329775969737,0.9908629441624366,0.9979642614793033,0.03509023862344694,0.9910672470149666,0.9964507361858278,0.9671532846715328,0.9474377925597437,0.09926486877856631,0.9688496734392881,0.9718180911868769,0.9324817518248175,0.6949002217294901,0.22953499305954048,0.9338569598768152,LGBMClassifier,1915.3444654941559,0.9999949373619756,0.9969543147208122,0.9993214204931011,0.019099622302582865,0.9969754595950562,0.9952843824462384,0.9598540145985401,0.9110741561961074,0.1040346937354751,0.9617782628825072,0.966577863126133,0.9361313868613139,0.6940995319044099,0.23230958413398625,0.9372263658382116,SimpleImputer,0.07306003964356843,LGBMClassifier,1164.3747916221619
/30_class_simple_MCAR_0.01_1/,30,class_simple_,MCAR_,0.01_,1/,0.07287152565807772,SimpleImputer,0.9998222668833041,0.99248730964467,0.9970652964658846,0.03031371910604273,0.9926272545717453,0.9984514344227546,0.9762773722627737,0.9712860310421286,0.07741337174153659,0.9772832751755711,0.9983048596456285,0.9762773722627737,0.9712860310421286,0.07835797455496951,0.9772832751755711,LGBMClassifier,2166.4861364364624,0.9999613245821412,0.9981725888324873,0.9927287272985594,0.0116702447009578,0.9981843739791812,0.9978579028189373,0.9726277372262774,0.7264474008376448,0.07246542993112898,0.9702861436545422,0.9975108774575157,0.9708029197080292,0.7082655826558266,0.07579486495088548,0.968240601290722,SimpleImputer,0.22467890211251687,LGBMClassifier,2678.9267728328705
/30_class_simple_MCAR_0.1_1/,30,class_simple_,MCAR_,0.1_,1/,0.07279277141313586,SimpleImputer,0.9999226428468873,0.9949238578680203,0.9969911958658848,0.024673880830427906,0.9950715731250237,0.9960815021957738,0.9762773722627737,0.859780734170978,0.08362874519052767,0.9763640013700166,0.9954755711754899,0.9781021897810219,0.8601872382360186,0.08956478275656389,0.9780842317046009,RandomForestClassifier,2198.4839260578156,0.999963121049561,0.9991878172588833,0.999819045464827,0.026453128456454703,0.9991908551921216,0.9962884146886936,0.9781021897810219,0.7818058635131806,0.1383059513668872,0.9771101910067099,0.9953452141055024,0.9708029197080292,0.7632175412663218,0.14761360962058429,0.9697665434212519,SimpleImputer,0.08501292522825694,BaggingClassifier,2146.5128326416016
