,1% Missing,10% Missing,30% Missing,50% Missing,Total
LGBMRegressor,43%,41%,49%,61%,49%
HistGradientBoostingRegressor,29%,22%,25%,20%,24%
RandomForestRegressor,6%,22%,14%,12%,13%
XGBRegressor,6%,6%,4%,2%,4%
ExtraTreesRegressor,10%,10%,4%,4%,7%
DecisionTreeRegressor,6%,0%,4%,2%,3%
