,1% Missing,10% Missing,30% Missing,50% Missing,Total
LGBMRegressor,27%,25%,41%,43%,34%
HistGradientBoostingRegressor,18%,25%,18%,12%,18%
RandomForestRegressor,8%,10%,8%,8%,8%
MLPRegressor,27%,18%,8%,8%,15%
ExtraTreesRegressor,8%,10%,12%,16%,11%
AdaBoostRegressor,0%,2%,4%,2%,2%
DecisionTreeRegressor,4%,2%,0%,0%,1%
XGBRegressor,2%,4%,4%,6%,4%
LinearSVR,6%,4%,2%,0%,3%
ARDRegression,0%,0%,4%,6%,2%
