,1% Missing,10% Missing,30% Missing,50% Missing,Total
HistGradientBoostingRegressor,22%,12%,18%,8%,15%
LGBMRegressor,29%,31%,43%,63%,42%
RandomForestRegressor,12%,8%,8%,0%,7%
ExtraTreesRegressor,0%,12%,16%,18%,11%
MLPRegressor,27%,22%,4%,0%,13%
ARDRegression,6%,4%,0%,0%,2%
AdaBoostRegressor,0%,0%,4%,4%,2%
KNeighborsRegressor,2%,2%,0%,0%,1%
XGBRegressor,2%,4%,4%,4%,3%
DecisionTreeRegressor,0%,2%,0%,0%,0%
LinearSVR,0%,4%,4%,4%,3%
