,1% Missing,10% Missing,30% Missing,50% Missing,Total
LGBMRegressor,27%,37%,33%,39%,34%
XGBRegressor,20%,14%,24%,12%,17%
HistGradientBoostingRegressor,20%,20%,10%,16%,16%
ExtraTreesRegressor,4%,6%,10%,8%,7%
RandomForestRegressor,6%,4%,10%,14%,8%
MLPRegressor,18%,14%,6%,6%,11%
DecisionTreeRegressor,0%,0%,2%,0%,0%
LinearSVR,4%,6%,2%,0%,3%
ARDRegression,2%,0%,2%,6%,2%
AdaBoostRegressor,0%,0%,2%,0%,0%
