,1% Missing,10% Missing,30% Missing,50% Missing,Total
LGBMRegressor,22%,31%,33%,42%,32%
HistGradientBoostingRegressor,18%,15%,12%,10%,14%
XGBRegressor,15%,17%,17%,11%,15%
RandomForestRegressor,3%,8%,11%,8%,8%
MLPRegressor,27%,14%,10%,12%,16%
ExtraTreesRegressor,7%,8%,10%,9%,9%
KNeighborsRegressor,2%,0%,0%,0%,1%
ARDRegression,2%,2%,3%,2%,2%
LinearSVR,4%,4%,3%,3%,3%
AdaBoostRegressor,0%,0%,1%,1%,1%
